Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step
graph_only,7.753177165364334,0.3722201005459017,17.602112648647992,240.34849212629436,0.9070506549091624,1.0,True,0
var_error,8.050480599081416,0.3128103569612205,17.18899241714026,249.56489857152388,0.9418324312710533,1.0,True,0
bates_granger_mv,8.063764555638938,0.4900000001119996,17.373375187047277,249.9767012248071,0.943386532414145,1.0,True,0
mult_tilt,8.094236968489417,0.35377622526330815,17.728645116566742,250.92134602317194,0.9469515253767934,1.0,True,0
full_gcsr,8.115121979128586,0.3075739042807864,17.732155971879447,251.56878135298618,0.9493948801685129,1.0,True,0
cov_only,8.252840429087495,0.3437073035430883,18.032100187708828,255.83805330171236,0.9655066763475485,1.0,True,0
rs_selection,8.353257881936283,0.48999999999999994,18.59257337118703,258.9509943400248,0.9772545978032454,1.0,True,0
recent_best,8.366716519262896,0.6400000000000001,17.63699454208782,259.36821209714975,0.9788291349950207,1.0,True,0
bates_granger,8.507018615909011,0.4382620742208525,18.201360169348387,263.71757709317933,0.9952431941521491,1.0,True,0
equal,8.54767826175053,0.45562500000000034,18.20813592770088,264.9780261142664,0.9999999999883009,1.0,True,0
median,8.702983800484798,0.26215805719964547,18.38235650200911,269.79249781502875,1.018169324333067,1.0,True,0
