TARGET_PERIOD,period_dt,actual,full_gcsr,bates_granger_mv,var_error,cov_only,recent_best,graph_only,equal,median,rs_selection,bates_granger,mult_tilt
2006-02-01,2006-02-01,9.2,8.689575471118763,8.635760713311846,8.749999999124999,8.663702164024947,8.8,8.704469954506937,8.677272727272728,8.7,8.8,8.679748781162058,8.664722077106203
2006-05-01,2006-05-01,8.9,8.61007463689119,8.468797793725708,8.628888888026,8.535271295760838,8.743333333333336,8.654977138279069,8.612020202020203,8.62888888888889,8.62888888888889,8.607889597249995,8.5352736414991
2006-08-01,2006-08-01,8.6,8.47138287427275,8.39999999916,8.443885523164395,8.423593463647263,8.4,8.517071048261181,8.47224437279798,8.5,8.5,8.473721472971036,8.423615303305226
2006-11-01,2006-11-01,8.3,7.972750275754552,7.955045059544743,7.921118419817294,7.974735061933699,8.1,7.989396216155208,7.927272727272728,8.0,8.0,7.940359856151697,7.974494109256452
2007-02-01,2007-02-01,7.9,7.885231501556151,7.843319534299777,7.84268196865669,7.868995464236724,8.0,7.954599890614363,7.854545454545455,7.9,8.0,7.85726302452289,7.8699798916344665
2007-05-01,2007-05-01,7.6,7.600434627117208,7.535562643667543,7.399999999260001,7.57656811482952,7.7,7.635519582284197,7.604545454545455,7.6,7.75,7.600084716190063,7.576568115305524
2007-08-01,2007-08-01,7.5,7.60001492724142,7.599999999239999,7.599999999239999,7.621623466627475,7.8,7.57248282369498,7.581818181818182,7.6,7.6,7.59139261675598,7.621623467041977
2007-11-01,2007-11-01,7.3,7.199999999280003,7.389999999260999,7.099999999290001,7.360826810432771,7.5,7.375519780649219,7.371818181818183,7.39,7.5,7.374836153352396,7.289695661439701
2008-02-01,2008-02-01,7.1,7.042367410316325,6.703292686763336,6.9999999993,6.9563181593479255,6.9,7.015904353213084,7.012929292929293,7.0,7.0,7.010823401851967,6.961815845432695
2008-05-01,2008-05-01,7.2,6.808940825716029,6.69999999933,6.857161280380865,6.756879907304791,6.3,6.8196900185234535,6.8278677995049515,6.8,6.75,6.819606222835407,6.756863245611185
2008-08-01,2008-08-01,7.3,6.833062285966238,6.799999999320001,6.925323695205406,6.84995222394586,7.2,6.806661118549103,6.833114842392229,6.8,7.2,6.832842805341407,6.849952224359482
2008-11-01,2008-11-01,7.7,7.435790204507823,7.399999999259999,6.895486595571413,7.284722275862357,7.4,7.328890766671432,7.128601438653187,7.119129228924105,7.4,7.152207341930624,7.393545856015704
2009-02-01,2009-02-01,8.7,7.436955395492876,7.341552589929746,7.6999999992299895,7.368035912892703,7.4,7.336775936338717,7.254545454545454,7.2,7.8,7.268707559128645,7.37257843268134
2009-05-01,2009-05-01,9.2,7.792761652478952,7.75231687194421,7.799999999220001,7.781683961904247,8.154804538463132,7.771685242218953,7.629349993008589,7.6,7.7,7.6494625307579245,7.78096269606308
2009-08-01,2009-08-01,9.6,8.59999999914,8.536631641098474,8.099999999189999,8.33722822844543,8.6,8.374390384983348,8.032647667744268,8.017693588488575,8.2,8.07330023311955,8.398199643369562
2009-11-01,2009-11-01,9.8,9.999999999000002,9.999999999,8.487428732004263,9.966485348147376,10.0,9.76953822701504,9.214014644806563,9.3,10.0,9.33281644155302,9.999430765205345
2010-02-01,2010-02-01,10.1,10.599106846668876,10.840806743114884,10.499999998949999,10.600232918714255,11.0,10.329597993774168,10.289083186205783,10.3,9.7,10.346270061137698,10.600232919187437
2010-05-01,2010-05-01,10.2,10.98693105411509,11.002598772684514,10.917272726181,10.987147850045703,11.6,10.333972290532563,10.917272727272728,11.1,10.2,10.92353355752622,10.987147850772722
2010-08-01,2010-08-01,10.0,10.662536762160293,10.557145405599485,10.299999998970005,10.662416338586949,11.6,10.256148320074402,10.690640927272728,10.423682,10.3,10.670614366235224,10.66241633925484
2010-11-01,2010-11-01,10.0,10.52101356357249,10.539071751622156,10.346534889676938,10.521031077246732,10.4,10.498161005403446,10.551227272727273,10.5,10.5,10.53341560339719,10.521031077875358
